scode	s_count	school_name	school_lat	school_long	cscode	center_name	center_address	center_capacity	distance_km
27319	642	ज्ञानोदय मा.वि., पुरानो कालिमाटी, बाफल	27.6993151813	85.2844782956	27340	JANAPRABHAT SECONDARY SCHOOL	KALIMATI	446	0.9452478320946103
27319	642	ज्ञानोदय मा.वि., पुरानो कालिमाटी, बाफल	27.6993151813	85.2844782956	27058	EVEREST MA VI	SOLTEEMOD	400	0.7426973303487774
27319	642	ज्ञानोदय मा.वि., पुरानो कालिमाटी, बाफल	27.6993151813	85.2844782956	27006	HOLYVISION SECONDARY SCHOOL	TAHACHAL	342	1.008656401855439
27319	642	ज्ञानोदय मा.वि., पुरानो कालिमाटी, बाफल	27.6993151813	85.2844782956	27067	LRI SECONDARY SCHOOL	KALANKISTHAN	523	1.2061895772156899
27319	642	ज्ञानोदय मा.वि., पुरानो कालिमाटी, बाफल	27.6993151813	85.2844782956	27305	GREENFIELD NATIONAL SECONDARY SCHOOL	SITAPAILA	407	0.6311176611752972
27319	642	ज्ञानोदय मा.वि., पुरानो कालिमाटी, बाफल	27.6993151813	85.2844782956	27135	RICHMOND ACADEMY SECONDARY SCHOOL	KALANKI	400	0.8646663353464245
27319	642	ज्ञानोदय मा.वि., पुरानो कालिमाटी, बाफल	27.6993151813	85.2844782956	27107	GITAMATA SECONDARY SCHOOL	BAJESHWARI	566	1.7134078719345345
27319	642	ज्ञानोदय मा.वि., पुरानो कालिमाटी, बाफल	27.6993151813	85.2844782956	27195	JUBLIENT SECONDARY SCHOOL	KALIMATI	430	1.895369197827642
27319	642	ज्ञानोदय मा.वि., पुरानो कालिमाटी, बाफल	27.6993151813	85.2844782956	27362	KULESHWAR AWSIYA SECONDARY SCHOOL	KULESHWAR	450	1.2472576434161666
27319	642	ज्ञानोदय मा.वि., पुरानो कालिमाटी, बाफल	27.6993151813	85.2844782956	27311	SITAPAILA SECONDARY SCHOOL	SITAPAILA	468	1.215076100131536
27319	642	ज्ञानोदय मा.वि., पुरानो कालिमाटी, बाफल	27.6993151813	85.2844782956	27043	JANAMAITRI MULTIPLE CAMPUS	KULESHWAR	397	1.1264279259284407
27319	642	ज्ञानोदय मा.वि., पुरानो कालिमाटी, बाफल	27.6993151813	85.2844782956	27092	PAROPAKAR ADARSHA SECONDARY SCHOOL	BHIMSENSTHAN	409	1.8865270366516498
