scode	school	cscode	center	center_address	allocation	distance_km
27020	काठमाडौं ईन्ष्टिच्यूट अफ साइन्स एण्ड टेक्नोलोजी मा.वि., कमलपोखरी	27291	SAIPAL ACADEMY SECONDARY SCHOOL	SUKEDHARA	163	1.8974152980180803
27020	काठमाडौं ईन्ष्टिच्यूट अफ साइन्स एण्ड टेक्नोलोजी मा.वि., कमलपोखरी	27192	PADMAKANYA BIDYASHRAM SECONDARY SCHOOL	DILLIBAZAR	11	0.7162065469824104
27020	काठमाडौं ईन्ष्टिच्यूट अफ साइन्स एण्ड टेक्नोलोजी मा.वि., कमलपोखरी	27081	SWAPNA BATIKA ACADEMY	BUDDHANAGAR	10	3.1119607304464805
27020	काठमाडौं ईन्ष्टिच्यूट अफ साइन्स एण्ड टेक्नोलोजी मा.वि., कमलपोखरी	27003	NATIONAL SCHOOL OF SCIENCES SECONDARY SCHOOL	LAINCHAUR	10	1.3735131743275908
27020	काठमाडौं ईन्ष्टिच्यूट अफ साइन्स एण्ड टेक्नोलोजी मा.वि., कमलपोखरी	27200	JANAKALYAN SECONDARY SCHOOL	BOUDHA	11	3.614559208238312
27020	काठमाडौं ईन्ष्टिच्यूट अफ साइन्स एण्ड टेक्नोलोजी मा.वि., कमलपोखरी	27245	BAL UDDHAR SECONDARY SCHOOL	KAPAN	49	3.709956789861985
27020	काठमाडौं ईन्ष्टिच्यूट अफ साइन्स एण्ड टेक्नोलोजी मा.वि., कमलपोखरी	27174	PADMODAYA SECONDARY SCHOOL	RAMSHAPATH	2	1.184115752106757
27466	नेपाल विद्यापिठ, वानेश्वर, काठमाडौं	27025	BAGMATI BOARDING SECONDARY SCHOOL	SUKEDHARA	17	3.770901883851467
27466	नेपाल विद्यापिठ, वानेश्वर, काठमाडौं	27156	RELIANCE INTERNATIONAL SCHOOL	KAPAN	1	4.24945976337368
27187	ग्रामर मा.वि., कोटेश्वर	27065	ARUNIMA SECONDARY SCHOOL	BOUDDHA	28	4.63326011238577
27187	ग्रामर मा.वि., कोटेश्वर	27090	NEW MILINIUM ACADEMY	SUKEDHARA	21	5.595186750170961
27187	ग्रामर मा.वि., कोटेश्वर	27278	BASBARI SECONDARY SCHOOL	BASBARI	170	6.957559154871329
27187	ग्रामर मा.वि., कोटेश्वर	27282	KATHMANDU UNIFIED SECONDARY SCHOOL	CHABAHIL	6	5.382132084036937
27302	विजेश्वरी ज्ञानमन्दिर सैनिक महाविद्यालय, विजेश्वरी	27311	SITAPAILA SECONDARY SCHOOL	SITAPAILA	25	1.670735958849849
27302	विजेश्वरी ज्ञानमन्दिर सैनिक महाविद्यालय, विजेश्वरी	27107	GITAMATA SECONDARY SCHOOL	BAJESHWARI	11	0.23971458860856368
